provider,type,range
AzureFrontDoor,ipv4,48.204.185.120/29
AzureFrontDoor,ipv4,48.223.80.232/29
AzureFrontDoor,ipv4,51.12.41.0/29
AzureFrontDoor,ipv4,51.12.193.0/29
AzureFrontDoor,ipv4,51.53.28.216/29
AzureFrontDoor,ipv4,51.57.122.168/29
AzureFrontDoor,ipv4,51.104.24.88/29
AzureFrontDoor,ipv4,51.105.80.96/29
AzureFrontDoor,ipv4,51.105.88.96/29
AzureFrontDoor,ipv4,51.107.48.96/29
AzureFrontDoor,ipv4,51.107.144.96/29
AzureFrontDoor,ipv4,51.120.40.96/29
AzureFrontDoor,ipv4,51.120.224.96/29
AzureFrontDoor,ipv4,51.137.160.88/29
AzureFrontDoor,ipv4,52.136.48.96/29
AzureFrontDoor,ipv4,52.140.104.96/29
AzureFrontDoor,ipv4,52.150.136.112/29
AzureFrontDoor,ipv4,52.228.80.112/29
AzureFrontDoor,ipv4,57.166.0.112/29
AzureFrontDoor,ipv4,57.175.44.132/31
AzureFrontDoor,ipv4,57.175.48.144/29
AzureFrontDoor,ipv4,68.210.172.152/29
AzureFrontDoor,ipv4,68.221.92.24/29
AzureFrontDoor,ipv4,74.144.32.230/31
AzureFrontDoor,ipv4,74.144.33.0/29
AzureFrontDoor,ipv4,102.133.56.80/29
AzureFrontDoor,ipv4,102.133.216.80/29
AzureFrontDoor,ipv4,104.212.67.0/24
AzureFrontDoor,ipv4,104.212.68.0/24
AzureFrontDoor,ipv4,150.171.1.16/28
AzureFrontDoor,ipv4,150.171.22.0/23
AzureFrontDoor,ipv4,150.171.26.0/24
AzureFrontDoor,ipv4,150.171.84.0/22
AzureFrontDoor,ipv4,150.171.88.0/23
AzureFrontDoor,ipv4,150.171.109.0/24
AzureFrontDoor,ipv4,150.171.110.0/23
AzureFrontDoor,ipv4,150.171.112.0/24
AzureFrontDoor,ipv4,158.23.108.48/29
AzureFrontDoor,ipv4,172.186.128.134/31
AzureFrontDoor,ipv4,172.186.128.152/29
AzureFrontDoor,ipv4,172.192.205.92/31
AzureFrontDoor,ipv4,172.192.208.96/29
AzureFrontDoor,ipv4,172.204.165.104/29
AzureFrontDoor,ipv4,191.233.9.112/29
AzureFrontDoor,ipv4,191.235.224.88/29
AzureFrontDoor,ipv4,4.153.250.0/29
AzureFrontDoor,ipv4,4.153.250.8/31
AzureFrontDoor,ipv4,4.166.36.192/29
AzureFrontDoor,ipv4,4.188.12.0/28
AzureFrontDoor,ipv4,4.188.12.16/30
AzureFrontDoor,ipv4,4.188.122.8/29
AzureFrontDoor,ipv4,4.189.206.22/31
AzureFrontDoor,ipv4,4.189.206.24/30
AzureFrontDoor,ipv4,4.189.206.32/28
AzureFrontDoor,ipv4,4.189.210.0/29
AzureFrontDoor,ipv4,4.189.210.8/31
AzureFrontDoor,ipv4,4.191.90.16/28
AzureFrontDoor,ipv4,4.195.6.159/32
AzureFrontDoor,ipv4,4.195.7.120/31
AzureFrontDoor,ipv4,4.196.135.200/29
AzureFrontDoor,ipv4,4.196.135.208/28
AzureFrontDoor,ipv4,4.198.222.0/29
AzureFrontDoor,ipv4,4.199.29.180/31
AzureFrontDoor,ipv4,4.200.208.104/30
AzureFrontDoor,ipv4,4.207.187.39/32
AzureFrontDoor,ipv4,4.207.187.66/31
AzureFrontDoor,ipv4,4.208.117.112/28
AzureFrontDoor,ipv4,4.213.28.114/31
AzureFrontDoor,ipv4,4.213.81.64/29
AzureFrontDoor,ipv4,4.221.234.152/29
AzureFrontDoor,ipv4,4.223.184.164/30
AzureFrontDoor,ipv4,4.232.98.120/29
AzureFrontDoor,ipv4,4.235.51.82/31
AzureFrontDoor,ipv4,4.235.51.144/29
AzureFrontDoor,ipv4,4.247.38.149/32
AzureFrontDoor,ipv4,4.247.39.0/30
AzureFrontDoor,ipv4,13.73.248.16/29
AzureFrontDoor,ipv4,20.15.221.168/29
AzureFrontDoor,ipv4,20.17.126.64/29
AzureFrontDoor,ipv4,20.21.37.40/29
AzureFrontDoor,ipv4,20.36.120.104/29
AzureFrontDoor,ipv4,20.37.64.104/29
AzureFrontDoor,ipv4,20.37.156.120/29
AzureFrontDoor,ipv4,20.37.195.0/29
AzureFrontDoor,ipv4,20.37.224.104/29
AzureFrontDoor,ipv4,20.38.84.72/29
AzureFrontDoor,ipv4,20.38.136.104/29
AzureFrontDoor,ipv4,20.39.11.8/29
AzureFrontDoor,ipv4,20.41.4.88/29
AzureFrontDoor,ipv4,20.41.64.120/29
AzureFrontDoor,ipv4,20.41.192.104/29
AzureFrontDoor,ipv4,20.42.4.120/29
AzureFrontDoor,ipv4,20.42.129.152/29
AzureFrontDoor,ipv4,20.42.224.104/29
AzureFrontDoor,ipv4,20.43.41.136/29
AzureFrontDoor,ipv4,20.43.65.128/29
AzureFrontDoor,ipv4,20.43.130.80/29
AzureFrontDoor,ipv4,20.45.112.104/29
AzureFrontDoor,ipv4,20.45.192.104/29
AzureFrontDoor,ipv4,20.59.103.64/29
AzureFrontDoor,ipv4,20.72.18.248/29
AzureFrontDoor,ipv4,20.79.107.152/29
AzureFrontDoor,ipv4,20.88.157.176/29
AzureFrontDoor,ipv4,20.90.132.152/29
AzureFrontDoor,ipv4,20.113.254.88/29
AzureFrontDoor,ipv4,20.115.247.64/29
AzureFrontDoor,ipv4,20.118.195.128/29
